StudyID,Who,Population,Sex,N,Biome,Country,Lattitude,Longitude,Region,SerumLevel_mg_dL,SL_SD_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY,study_ID_Ancestry
MALA9-B,Emily,Temuan,M,11,tropical rainforest,Malaysia,2.771267,102.216302,Asia,193.35,40.6035,NA,NA,NA,NA,NA,NA,Austroasiatic,MALA9-B
DEL1-B,EM,Indian,M,25,Tropical Rainforest,India,28.61,77.21,Asia,194,35,50,12,116,40,142,26,Indian,DEL1-A
DEL1-A,EM,Indian,F,309,Tropical Rainforest,India,28.61,77.21,Asia,194,37,NA,NA,NA,NA,108,47,Indian,DEL1-A
NAN1-B,KIKI,Nangapandans (not infected),M/F,229,Tropical Rainforest,Indonesia,-7,121,Asia,197.217,46.404,61.872,15.468,127.611,42.537,106.284,61.999,Austronesian,NAN1-B
DEL1-A,EM,Indian,M,225,Tropical Rainforest,India,28.61,77.21,Asia,198,39,NA,NA,NA,NA,123,28,Indian,DEL1-A
DEL1-A,EM,Indian,M,158,Tropical Rainforest,India,28.61,77.21,Asia,202,39,NA,NA,NA,NA,133,57,Indian,DEL1-A
DEL1-A,EM,Indian,F,257,Tropical Rainforest,India,28.61,77.21,Asia,203,40,NA,NA,NA,NA,126,51,Indian,DEL1-A
DEL1-A,EM,Indian,M,158,Tropical Rainforest,India,28.61,77.21,Asia,210,43,NA,NA,NA,NA,150,57,Indian,DEL1-A
DEL1-A,EM,Indian,M,140,Tropical Rainforest,India,28.61,77.21,Asia,211,46,NA,NA,NA,NA,168,52,Indian,DEL1-A
DEL1-A,EM,Indian,F,282,Tropical Rainforest,India,28.61,77.21,Asia,215,47,NA,NA,NA,NA,154,52,Indian,DEL1-A
